product_id,product_name,category,sub-category, unit_price , cogs 
PD-1144,Anker Astro 15000mAh USB ,Technology,Phones,$49.99 ,$22.00 
PD-1145,Case Logic 2.4GHz Wireles,Technology,Accessories,$49.99 ,$22.50 
PD-1146,Logitech Wireless Maratho,Technology,Accessories,$49.99 ,$4.50 
PD-1147,Plantronics Audio 478 Ste,Technology,Accessories,$49.99 ,$17.00 
PD-1148,Hypercom P1300 Pinpad,Technology,Accessories,$50.40 ,$22.18 
PD-1151,Hewlett-Packard Deskjet F,Technology,Machines,$51.00 ,$2.55 
PD-1156,Panasonic KX-TG6844B Expa,Technology,Phones,$52.79 ,$11.09 
PD-1157,AT&T SB67148 SynJ,Technology,Phones,$52.79 ,$23.23 
PD-1158,Plantronics 81402,Technology,Phones,$52.79 ,$11.09 
PD-1159,Samsung Rugby III,Technology,Phones,$52.79 ,$4.75 
PD-1160,Clarity 53712,Technology,Phones,$52.79 ,$8.97 
PD-1161,i.Sound Portable Power - ,Technology,Phones,$52.99 ,$24.91 
PD-1163,RCA Visys Integrated PBX ,Technology,Phones,$53.59 ,$10.18 
PD-1172,Cisco SPA112 2 Port Phone,Technology,Phones,$54.95 ,$29.67 
PD-1183,Sony Micro Vault Click 16,Technology,Accessories,$55.99 ,$21.28 
PD-1184,iHome FM Clock Radio with,Technology,Phones,$55.99 ,$10.64 
PD-1191,Imation Secure+ Hardware ,Technology,Accessories,$58.39 ,$29.20 
PD-1193,WD My Passport Ultra 500G,Technology,Accessories,$59.00 ,$9.44 
PD-1195,Avaya 4621SW VoIP phone,Technology,Phones,$59.16 ,$24.26 
PD-1197,Kensington Orbit Wireless,Technology,Accessories,$59.99 ,$27.60 
PD-1198,Logitech Illuminated - Ke,Technology,Accessories,$59.99 ,$8.40 
PD-1199,Blue Parrot B250XT Profes,Technology,Phones,$59.99 ,$30.60 
PD-1200,Okidata B401 Printer,Technology,Machines,$60.00 ,$6.00 
PD-1212,Logitech G13 Programmable,Technology,Accessories,$63.99 ,$24.32 
PD-1213,Mophie Juice Pack Helium ,Technology,Phones,$63.99 ,$28.80 
PD-1214,Logitech G430 Surround So,Technology,Accessories,$63.99 ,$27.52 
PD-1215,Razer Kraken PRO Over Ear,Technology,Accessories,$63.99 ,$16.64 
PD-1220,Plantronics Voyager Pro H,Technology,Phones,$64.99 ,$3.90 
PD-1223,Panasonic KX TS3282B Cord,Technology,Phones,$65.59 ,$6.56 
PD-1224,Cisco SPA508G,Technology,Phones,$65.99 ,$28.38 
PD-1226,Samsung Convoy 3,Technology,Phones,$66.59 ,$3.33 
PD-1230,Nortel Networks T7316 E N,Technology,Phones,$67.99 ,$32.64 
PD-1231,Panasonic KX TS3282W Cord,Technology,Phones,$67.99 ,$11.56 
PD-1233,WD My Passport Ultra 1TB ,Technology,Accessories,$69.00 ,$29.67 
PD-1235,Epson WorkForce WF-2530 A,Technology,Machines,$69.99 ,$32.90 
PD-1236,Logitech G500s Laser Gami,Technology,Accessories,$69.99 ,$21.00 
PD-1248,Geemarc AmpliPOWER60,Technology,Phones,$74.24 ,$33.41 
PD-1249,Cisco 8961 IP Phone Charc,Technology,Machines,$74.98 ,$3.75 
PD-1250,Kensington Expert Mouse O,Technology,Accessories,$75.99 ,$10.64 
PD-1254,Pyle PMP37LED,Technology,Phones,$76.79 ,$42.24 
PD-1255,Vtech CS6719,Technology,Phones,$76.79 ,$11.52 
PD-1256,Cisco Desktop Collaborati,Technology,Machines,$77.16 ,$36.27 
PD-1258,Enermax Aurora Lite Keybo,Technology,Accessories,$78.15 ,$30.48 
PD-1261,First Data FD10 PIN Pad,Technology,Accessories,$79.00 ,$31.60 
PD-1262,Panasonic KX T7731-B Digi,Technology,Phones,$79.99 ,$6.40 
PD-1263,Logitech Wireless Perform,Technology,Accessories,$79.99 ,$16.80 
PD-1264,Logitech G602 Wireless Ga,Technology,Accessories,$79.99 ,$32.00 
PD-1265,RCA ViSYS 25423RE1 Corded,Technology,Phones,$79.99 ,$8.00 
PD-1266,Logitech G600 MMO Gaming ,Technology,Accessories,$79.99 ,$16.00 
PD-1267,Razer Kraken 7.1 Surround,Technology,Accessories,$79.99 ,$14.40 
PD-1269,Classic Ivory Antique Tel,Technology,Phones,$80.39 ,$36.98 
PD-1276,Cisco Small Business SPA ,Technology,Phones,$82.06 ,$16.41 
PD-1283,Logitech Gaming G510s - K,Technology,Accessories,$84.99 ,$44.19 
PD-1285,Plantronics Audio 995 Wir,Technology,Accessories,$87.96 ,$46.62 
PD-1287,AT&T 1070 Corded Phone,Technology,Phones,$89.19 ,$33.89 
PD-1290,Panasonic KX T7736-B Digi,Technology,Phones,$89.97 ,$9.00 
PD-1292,Motorola Droid Maxx,Technology,Phones,$89.99 ,$24.30 
PD-1293,NETGEAR N750 Dual Band Wi,Technology,Accessories,$90.00 ,$32.40 
PD-1302,Jabra SPEAK 410,Technology,Phones,$93.99 ,$42.30 
PD-1306,Canon PC170 Desktop Perso,Technology,Machines,$95.97 ,$7.68 
PD-1317,Enermax Acrylux Wireless ,Technology,Accessories,$99.60 ,$51.79 
PD-1318,StarTech.com 10/100 VDSL2,Technology,Machines,$99.89 ,$43.95 
PD-1319,Logitech G700s Rechargeab,Technology,Accessories,$99.99 ,$5.00 
PD-1320,Logitech Wireless Headset,Technology,Accessories,$99.99 ,$5.00 
PD-1322,Xblue XB-1670-86 X16 Smal,Technology,Phones,$100.79 ,$49.39 
PD-1323,Ooma Telo VoIP Home Phone,Technology,Phones,$100.79 ,$32.25 
PD-1324,VTech DS6151,Technology,Phones,$100.79 ,$50.40 
PD-1325,HTC One Mini,Technology,Phones,$100.79 ,$45.36 
PD-1326,AT&T CL2909,Technology,Phones,$100.79 ,$31.25 
PD-1327,BlackBerry Q10,Technology,Phones,$100.79 ,$38.30 
PD-1332,Jabra BIZ 2300 Duo QD Duo,Technology,Phones,$101.59 ,$28.45 
PD-1344,HP Officejet Pro 8600 e-A,Technology,Machines,$104.99 ,$14.70 
PD-1345,Plantronics S12 Corded Te,Technology,Accessories,$107.79 ,$54.97 
PD-1346,Logitech Mobile Speakerph,Technology,Phones,$107.98 ,$16.20 
PD-1347,Google Nexus 5,Technology,Phones,$107.99 ,$15.12 
PD-1348,Cisco 8x8 Inc. 6753i IP B,Technology,Phones,$107.99 ,$15.12 
PD-1349,Cisco IP Phone 7961G VoIP,Technology,Phones,$108.76 ,$10.88 
PD-1350,Plantronics CS 50-USB - h,Technology,Phones,$108.79 ,$44.60 
PD-1354,AT&T 1080 Corded phone,Technology,Phones,$109.59 ,$55.89 
PD-1361,Nortel Business Series Te,Technology,Phones,$111.19 ,$16.68 
PD-1365,Hewlett-Packard Deskjet D,Technology,Machines,$111.99 ,$10.08 
PD-1369,Brother MFC-9340CDW LED A,Technology,Machines,$114.00 ,$9.12 
PD-1371,GE 30522EE2,Technology,Phones,$115.99 ,$41.76 
PD-1373,Zebra GK420t Direct Therm,Technology,Machines,$117.29 ,$7.04 
PD-1375,Polycom SoundPoint Pro SE,Technology,Phones,$118.99 ,$45.22 
PD-1376,WD My Passport Ultra 2TB ,Technology,Accessories,$119.00 ,$34.51 
PD-1379,Cherry 142-key Programmab,Technology,Accessories,$119.93 ,$7.20 
PD-1380,Cisco SPA 502G IP Phone,Technology,Phones,$119.95 ,$23.99 
PD-1381,Jabra Supreme Plus Driver,Technology,Phones,$119.99 ,$7.20 
PD-1382,Polycom CX300 Desktop Pho,Technology,Phones,$119.99 ,$32.40 
PD-1383,Lexmark MarkNet N8150 Wir,Technology,Machines,$120.59 ,$55.47 
PD-1393,Nortel Meridian M3904 Pro,Technology,Phones,$123.19 ,$67.76 
PD-1396,Motorola L703CM,Technology,Phones,$124.79 ,$21.21 
PD-1397,Adtran 1202752G1,Technology,Phones,$125.99 ,$7.56 
PD-1398,AT&T TR1909W,Technology,Phones,$125.99 ,$40.32 
PD-1399,AT&T EL51110 DECT,Technology,Phones,$125.99 ,$44.10 
PD-14,Maxell 4.7GB DVD+R 5/Pack,Technology,Accessories,$0.99 ,$0.39 
PD-1400,Jawbone JAMBOX Wireless B,Technology,Phones,$126.39 ,$46.77 
PD-1402,NETGEAR AC1750 Dual Band ,Technology,Accessories,$127.99 ,$40.96 
PD-1403,DYMO CardScan Personal V9,Technology,Machines,$127.99 ,$55.04 
PD-1404,Logitech Wireless Gaming ,Technology,Accessories,$127.99 ,$56.32 
PD-1405,Digium D40 VoIP phone,Technology,Phones,$128.99 ,$61.92 
PD-1407,Cisco IP Phone 7961G-GE V,Technology,Phones,$129.95 ,$22.09 
PD-1409,Logitech G35 7.1-Channel ,Technology,Accessories,$129.99 ,$27.30 
PD-1412,Imation Bio 2GB USB Flash,Technology,Accessories,$131.18 ,$23.61 
PD-1414,Panasonic KX MC6040 Color,Technology,Machines,$134.99 ,$48.59 
PD-1415,ShoreTel ShorePhone IP 23,Technology,Phones,$135.19 ,$41.91 
PD-1417,Polycom SoundPoint IP 450,Technology,Phones,$135.52 ,$70.47 
PD-1421,Jawbone MINI JAMBOX Wirel,Technology,Phones,$136.98 ,$73.97 
PD-1423,Toshiba IPT2010-SD IP Tel,Technology,Phones,$138.99 ,$26.41 
PD-1430,First Data TMFD35 PIN Pad,Technology,Accessories,$142.80 ,$29.99 
PD-1440,Panasonic KX-TG9541B DECT,Technology,Phones,$149.99 ,$30.00 
PD-1444,Mitel 5320 IP Phone VoIP ,Technology,Phones,$151.19 ,$69.55 
PD-1449,Fellowes Powershred HS-44,Technology,Machines,$154.99 ,$68.20 
PD-1451,Nortel Meridian M5316 Dig,Technology,Phones,$155.37 ,$69.92 
PD-1453,Cisco SPA301,Technology,Phones,$155.99 ,$29.64 
PD-1454,GE 30524EE4,Technology,Phones,$156.79 ,$43.90 
PD-1457,ClearOne Communications C,Technology,Phones,$158.99 ,$31.80 
PD-1458,Bose SoundLink Bluetooth ,Technology,Phones,$159.20 ,$15.92 
PD-1459,Razer Tiamat Over Ear 7.1,Technology,Accessories,$159.99 ,$22.40 
PD-1460,Canon PC-428 Personal Cop,Technology,Copiers,$159.99 ,$28.80 
PD-1461,Aastra 57i VoIP phone,Technology,Phones,$161.61 ,$8.08 
PD-1462,Jabra SPEAK 410 Multidevi,Technology,Phones,$164.79 ,$13.18 
PD-1463,Ativa D5772 2-Line 5.8GHz,Technology,Phones,$164.99 ,$8.25 
PD-1475,Logitech VX Revolution Co,Technology,Accessories,$179.99 ,$63.00 
PD-1476,Polycom VVX 310 VoIP phon,Technology,Phones,$179.99 ,$46.80 
PD-1485,Epson TM-T88V Direct Ther,Technology,Machines,$186.57 ,$13.06 
PD-1486,Wireless Extenders zBoost,Technology,Phones,$188.99 ,$60.48 
PD-1490,Panasonic KX-TG9471B,Technology,Phones,$195.99 ,$98.00 
PD-1491,LG G3,Technology,Phones,$195.99 ,$92.12 
PD-1492,Hewlett-Packard Deskjet 5,Technology,Machines,$199.04 ,$15.92 
PD-1499,AT&T CL83451 4-Handset Te,Technology,Phones,$205.99 ,$103.00 
PD-15,Maxell 4.7GB DVD-R 5/Pack,Technology,Accessories,$0.99 ,$0.41 
PD-1500,Cisco Unified IP Phone 79,Technology,Phones,$205.99 ,$61.80 
PD-1501,GE 2-Jack Phone Line Spli,Technology,Phones,$205.99 ,$28.84 
PD-1505,Okidata C331dn Printer,Technology,Machines,$209.40 ,$87.95 
PD-1507,Samsung Galaxy S III - 16,Technology,Phones,$209.99 ,$94.50 
PD-1509,Aastra 6757i CT Wireless ,Technology,Phones,$215.44 ,$43.09 
PD-1512,Samsung Galaxy Note 3,Technology,Phones,$219.99 ,$114.39 
PD-1524,Polycom VoiceStation 500 ,Technology,Phones,$235.96 ,$75.51 
PD-1526,Polycom CX600 IP Phone Vo,Technology,Phones,$239.96 ,$50.39 
PD-1527,Brother DCP1000 Digital 3,Technology,Copiers,$239.99 ,$100.80 
PD-1528,Hewlett Packard 310 Color,Technology,Copiers,$239.99 ,$117.60 
PD-1533,Logitech diNovo Edge Keyb,Technology,Accessories,$249.99 ,$107.50 
PD-1535,Logitech P710e Mobile Spe,Technology,Accessories,$257.49 ,$46.35 
PD-1538,Plantronics CS510 - Over-,Technology,Accessories,$263.96 ,$52.79 
PD-1542,Canon PC940 Copier,Technology,Copiers,$269.99 ,$148.50 
PD-1543,Motorola Moto X,Technology,Phones,$271.99 ,$122.40 
PD-1544,Mitel MiVoice 5330e IP Ph,Technology,Phones,$274.99 ,$41.25 
PD-1546,Maxell iVDR EX 500GB Cart,Technology,Accessories,$275.54 ,$13.78 
PD-1549,Konftel 250 Conference ph,Technology,Phones,$284.82 ,$91.14 
PD-1550,Wilson Electronics DB Pro,Technology,Phones,$286.40 ,$148.93 
PD-1551,Wilson SignalBoost 841262,Technology,Phones,$287.96 ,$100.79 
PD-1559,Okidata MB491 Multifuncti,Technology,Machines,$319.99 ,$64.00 
PD-1561,Okidata C610n Printer,Technology,Machines,$324.50 ,$19.47 
PD-1563,Sharp 1540cs Digital Lase,Technology,Copiers,$329.99 ,$19.80 
PD-1564,Logitech Z-906 Speaker sy,Technology,Accessories,$329.99 ,$23.10 
PD-1567,Samsung Galaxy Mega 6.3,Technology,Phones,$335.99 ,$67.20 
PD-1568,Canon Color ImageCLASS MF,Technology,Machines,$335.99 ,$154.56 
PD-1569,Okidata B400 Printer,Technology,Machines,$343.20 ,$30.89 
PD-1570,Cisco CP-7937G Unified IP,Technology,Machines,$347.85 ,$27.83 
PD-1573,Hewlett Packard LaserJet ,Technology,Copiers,$359.99 ,$28.80 
PD-1577,Samsung Galaxy S4 Mini,Technology,Phones,$375.99 ,$139.12 
PD-1580,Apple iPhone 5,Technology,Phones,$389.90 ,$155.96 
PD-1581,Sharp AL-1530CS Digital C,Technology,Copiers,$399.99 ,$160.00 
PD-1582,Hewlett Packard 610 Color,Technology,Copiers,$399.99 ,$56.00 
PD-1586,Polycom SoundStation2 EX ,Technology,Phones,$404.95 ,$80.99 
PD-1589,Logitech G19 Programmable,Technology,Accessories,$421.95 ,$177.22 
PD-1592,Cisco 9971 IP Video Phone,Technology,Machines,$440.00 ,$114.40 
PD-1594,Okidata C610n Printer,Technology,Machines,$454.30 ,$40.89 
PD-1595,Apple iPhone 5S,Technology,Phones,$455.99 ,$155.04 
PD-1597,ClearOne CHATAttach 160 -,Technology,Phones,$495.99 ,$44.64 
PD-1599,Canon Imageclass D680 Cop,Technology,Copiers,$559.99 ,$33.60 
PD-1600,Canon Image Class D660 Co,Technology,Copiers,$599.99 ,$264.00 
PD-1601,Bady BDG101FRU Card Print,Technology,Machines,$639.99 ,$313.60 
PD-1602,"3D Systems Cube Printer, ",Technology,Machines,$650.00 ,$292.50 
PD-1603,Ativa V4110MDD Micro-Cut ,Technology,Machines,$699.99 ,$105.00 
PD-1604,Canon PC1060 Personal Las,Technology,Copiers,$699.99 ,$133.00 
PD-1607,HP Designjet T520 Inkjet ,Technology,Machines,$875.00 ,$280.00 
PD-1608,Cubify CubeX 3D Printer D,Technology,Machines,$900.00 ,$315.00 
PD-1610,Lexmark MX611dhe Monochro,Technology,Machines,"$1,019.99 ",$510.00 
PD-1612,Okidata MB760 Printer,Technology,Machines,"$1,119.20 ",$179.07 
PD-1613,Zebra ZM400 Thermal Label,Technology,Machines,"$1,160.95 ",$603.69 
PD-1614,"3D Systems Cube Printer, ",Technology,Machines,"$1,299.99 ",$468.00 
PD-1617,Canon imageCLASS MF7460 M,Technology,Machines,"$1,995.99 ","$1,017.95 "
PD-1618,Cubify CubeX 3D Printer T,Technology,Machines,"$2,000.00 ",$100.00 
PD-1619,Canon imageCLASS 2200 Adv,Technology,Copiers,"$2,099.99 ",$420.00 
PD-184,Imation USB 2.0 Swivel Fl,Technology,Accessories,$3.03 ,$1.21 
PD-259,Cush Cases Heavy Duty Rug,Technology,Phones,$3.96 ,$1.66 
PD-390,SanDisk Cruzer 4 GB USB F,Technology,Accessories,$5.19 ,$2.39 
PD-407,QVS USB Car Charger 2-Por,Technology,Phones,$5.56 ,$0.95 
PD-411,Verbatim 25 GB 6x Blu-ray,Technology,Accessories,$5.59 ,$0.78 
PD-434,Kingston Digital DataTrav,Technology,Accessories,$5.95 ,$0.48 
PD-435,Verbatim 25 GB 6x Blu-ray,Technology,Accessories,$5.96 ,$2.15 
PD-447,Square Credit Card Reader,Technology,Phones,$5.99 ,$1.80 
PD-504,Anker 24W Portable Micro ,Technology,Phones,$6.59 ,$3.03 
PD-51,Maxell CD-R Discs,Technology,Accessories,$1.58 ,$0.27 
PD-515,Sabrent 4-Port USB 2.0 Hu,Technology,Accessories,$6.79 ,$3.33 
PD-520,Imation 30456 USB Flash D,Technology,Accessories,$6.90 ,$1.24 
PD-526,AmazonBasics 3-Button USB,Technology,Accessories,$6.99 ,$1.47 
PD-531,Kingston Digital DataTrav,Technology,Accessories,$7.16 ,$0.64 
PD-559,"Maxell 74 Minute CDR, 10/",Technology,Accessories,$7.82 ,$0.47 
PD-564,Square Credit Card Reader,Technology,Phones,$7.99 ,$3.28 
PD-566,Mediabridge Sport Armband,Technology,Phones,$7.99 ,$3.60 
PD-573,KeyTronic KT400U2 - Keybo,Technology,Accessories,$8.22 ,$4.03 
PD-588,LF Elite 3D Dazzle Design,Technology,Phones,$8.72 ,$3.92 
PD-593,Shocksock Galaxy S4 Armba,Technology,Phones,$8.76 ,$0.53 
PD-594,Belkin Grip Candy Sheer C,Technology,Phones,$8.78 ,$3.34 
PD-601,Belkin SportFit Armband F,Technology,Phones,$8.99 ,$1.89 
PD-611,Memorex Mini Travel Drive,Technology,Accessories,$9.26 ,$3.98 
PD-623,I Need's 3d Hello Kitty H,Technology,Phones,$9.57 ,$3.54 
PD-630,KLD Oscar II Style Snap-o,Technology,Phones,$9.72 ,$0.97 
PD-639,PowerGen Dual USB Car Cha,Technology,Phones,$9.99 ,$0.50 
PD-655,Cyber Acoustics AC-202b S,Technology,Phones,$10.39 ,$1.97 
PD-656,SanDisk Ultra 16 GB Micro,Technology,Accessories,$10.39 ,$1.87 
PD-657,Memorex Micro Travel Driv,Technology,Accessories,$10.40 ,$5.51 
PD-662,Memorex Micro Travel Driv,Technology,Accessories,$10.60 ,$0.95 
PD-667,Rosewill 107 Normal Keys ,Technology,Accessories,$10.78 ,$5.18 
PD-668,invisibleSHIELD by ZAGG S,Technology,Phones,$10.79 ,$4.97 
PD-674,Memorex Froggy Flash Driv,Technology,Accessories,$10.99 ,$4.95 
PD-683,Imation Swivel Flash Driv,Technology,Accessories,$11.37 ,$1.59 
PD-686,SanDisk Cruzer 16 GB USB ,Technology,Accessories,$11.48 ,$2.41 
PD-691,Verbatim 25 GB 6x Blu-ray,Technology,Accessories,$11.59 ,$4.64 
PD-692,Belkin Standard 104 key U,Technology,Accessories,$11.67 ,$3.85 
PD-699,Macally Suction Cup Mount,Technology,Phones,$11.95 ,$4.78 
PD-702,iOttie HLCRIO102 Car Moun,Technology,Phones,$11.99 ,$1.80 
PD-703,Belkin iPhone and iPad Li,Technology,Phones,$11.99 ,$3.96 
PD-728,Maxell 4.7GB DVD+RW 3/Pac,Technology,Accessories,$12.74 ,$2.55 
PD-730,Sony 16GB Class 10 Micro ,Technology,Accessories,$12.89 ,$4.25 
PD-736,Logitech Desktop MK120 Mo,Technology,Accessories,$13.09 ,$2.22 
PD-738,Hewlett-Packard 300S Scie,Technology,Machines,$13.11 ,$2.36 
PD-748,ARKON Windshield Dashboar,Technology,Phones,$13.56 ,$4.47 
PD-752,Memorex 25GB 6X Branded B,Technology,Accessories,$13.59 ,$2.04 
PD-755,Sony Micro Vault Click 4 ,Technology,Accessories,$13.94 ,$2.37 
PD-757,Maxell Pro 80 Minute CD-R,Technology,Accessories,$13.98 ,$5.73 
PD-764,HP Standard 104 key PS/2 ,Technology,Accessories,$14.50 ,$4.79 
PD-765,Logitech Keyboard K120,Technology,Accessories,$14.52 ,$2.32 
PD-777,Imation 8gb Micro Traveld,Technology,Accessories,$15.00 ,$2.85 
PD-798,Maxell 4.7GB DVD-RW 3/Pac,Technology,Accessories,$15.93 ,$5.73 
PD-799,Cisco SPA525G2 IP Phone -,Technology,Phones,$15.96 ,$2.87 
PD-800,Memorex Mini Travel Drive,Technology,Accessories,$15.97 ,$5.43 
PD-802,Anker 36W 4-Port USB Wall,Technology,Phones,$15.99 ,$8.48 
PD-804,Memorex Micro Travel Driv,Technology,Accessories,$15.99 ,$6.08 
PD-805,iOttie XL Car Mount,Technology,Phones,$15.99 ,$1.12 
PD-811,Maxell DVD-RAM Discs,Technology,Accessories,$16.48 ,$6.76 
PD-813,Kensington K72356US Mouse,Technology,Accessories,$16.59 ,$2.99 
PD-818,Kingston Digital DataTrav,Technology,Accessories,$16.95 ,$7.12 
PD-827,Samsung HM1900 Bluetooth ,Technology,Phones,$17.56 ,$9.48 
PD-832,Memorex Froggy Flash Driv,Technology,Accessories,$17.75 ,$6.92 
PD-837,KeyTronic E03601U1 - Keyb,Technology,Accessories,$18.00 ,$1.62 
PD-844,Motorola HK250 Universal ,Technology,Phones,$18.39 ,$8.28 
PD-845,Verbatim 25 GB 6x Blu-ray,Technology,Accessories,$18.39 ,$9.20 
PD-848,Imation Clip USB flash dr,Technology,Accessories,$18.80 ,$3.38 
PD-853,SanDisk Cruzer 32 GB USB ,Technology,Accessories,$19.02 ,$3.99 
PD-86,Sannysis Cute Owl Design ,Technology,Phones,$1.98 ,$0.12 
PD-868,PureGear Roll-On Screen P,Technology,Phones,$19.99 ,$3.40 
PD-869,OtterBox Commuter Series ,Technology,Phones,$19.99 ,$3.20 
PD-870,Anker Ultra-Slim Mini Blu,Technology,Accessories,$19.99 ,$5.20 
PD-871,Anker Astro Mini 3000mAh ,Technology,Phones,$19.99 ,$6.20 
PD-872,Logitech LS21 Speaker Sys,Technology,Accessories,$19.99 ,$8.60 
PD-873,Micropad Numeric Keypads,Technology,Accessories,$19.99 ,$8.80 
PD-874,Memorex Mini Travel Drive,Technology,Accessories,$20.00 ,$3.60 
PD-883,TRENDnet 56K USB 2.0 Phon,Technology,Accessories,$20.71 ,$4.14 
PD-885,Enermax Briskie RF Wirele,Technology,Accessories,$20.77 ,$3.53 
PD-889,Sony 32GB Class 10 Micro ,Technology,Accessories,$20.95 ,$3.98 
PD-890,iKross Bluetooth Portable,Technology,Phones,$20.95 ,$8.17 
PD-891,Maxell 74 Minute CD-R Spi,Technology,Accessories,$20.97 ,$3.36 
PD-907,SanDisk Ultra 32 GB Micro,Technology,Accessories,$22.10 ,$9.50 
PD-913,Maxell 4.7GB DVD-R,Technology,Accessories,$22.70 ,$8.85 
PD-923,Logitech ClearChat Comfor,Technology,Accessories,$23.43 ,$9.37 
PD-927,Motorla HX550 Universal B,Technology,Phones,$23.73 ,$12.34 
PD-928,Jackery Bar Premium Fast-,Technology,Phones,$23.96 ,$1.20 
PD-929,Microsoft Natural Ergonom,Technology,Accessories,$23.99 ,$1.44 
PD-931,Logitech Trackman Marble ,Technology,Accessories,$23.99 ,$11.76 
PD-932,BlueLounge Milo Smartphon,Technology,Phones,$23.99 ,$1.44 
PD-933,Vtech AT&T CL2940 Corded ,Technology,Machines,$23.99 ,$1.68 
PD-943,Seidio BD2-HK3IPH5-BK DIL,Technology,Phones,$24.81 ,$4.71 
PD-944,Logitech Wireless Touch K,Technology,Accessories,$24.99 ,$1.50 
PD-945,Micro Innovations USB RF ,Technology,Accessories,$25.00 ,$5.25 
PD-960,Lenovo 17-Key USB Numeric,Technology,Accessories,$27.19 ,$11.42 
PD-962,Panasonic Kx-TS550,Technology,Phones,$27.59 ,$11.04 
PD-963,Motorola L804,Technology,Phones,$27.59 ,$9.93 
PD-967,Plantronics Cordless Phon,Technology,Phones,$27.96 ,$4.75 
PD-968,Speck Products Candyshell,Technology,Phones,$27.99 ,$11.20 
PD-969,Apple EarPods with Remote,Technology,Phones,$27.99 ,$10.36 
PD-970,Maxell LTO Ultrium - 800 ,Technology,Accessories,$27.99 ,$10.36 
PD-971,Logitech Media Keyboard K,Technology,Accessories,$27.99 ,$12.32 
PD-979,Sony 64GB Class 10 Micro ,Technology,Accessories,$28.79 ,$10.94 
PD-980,AT&T CL82213,Technology,Phones,$28.99 ,$1.45 
PD-981,SanDisk Cruzer 64 GB USB ,Technology,Accessories,$29.06 ,$13.37 
PD-983,Memorex Micro Travel Driv,Technology,Accessories,$29.21 ,$2.92 
PD-984,OtterBox Defender Series ,Technology,Phones,$29.58 ,$1.78 
PD-987,Imation 32GB Pocket Pro U,Technology,Accessories,$29.95 ,$13.18 
PD-989,Logitech 910-002974 M325 ,Technology,Accessories,$29.99 ,$9.60 
PD-990,Nokia Lumia 521 (T-Mobile,Technology,Phones,$29.99 ,$11.40 
PD-991,Belkin F8E887 USB Wired E,Technology,Accessories,$29.99 ,$9.90 
PD-992,OtterBox Defender Series ,Technology,Phones,$29.99 ,$7.80 
PD-1,Wilson Jones Easy Flow II,Office Supplies,Binders,$0.36 ,$0.14 
PD-10,Zipper Ring Binder Pocket,Office Supplies,Binders,$0.94 ,$0.43 
PD-100,Sanford Uni-Blazer View H,Office Supplies,Art,$2.20 ,$1.08 
PD-1000,Fellowes Superior 10 Outl,Office Supplies,Appliances,$30.45 ,$12.18 
