order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
2061,5/14/2021,5/17/2021,First Class,CUST-600,PD-942,8,0.2
2062,5/14/2021,5/17/2021,First Class,CUST-600,PD-769,4,0.2
2063,5/14/2021,5/17/2021,First Class,CUST-600,PD-977,7,0.2
2064,5/14/2021,5/17/2021,First Class,CUST-600,PD-937,4,0.2
2066,5/14/2021,5/17/2021,First Class,CUST-600,PD-614,2,0.7
2068,8/21/2021,8/23/2021,First Class,CUST-563,PD-1482,3,0.2
2069,8/21/2021,8/23/2021,First Class,CUST-563,PD-863,3,0
2070,8/21/2021,8/23/2021,First Class,CUST-563,PD-333,4,0
2071,8/21/2021,8/23/2021,First Class,CUST-563,PD-298,1,0
2072,5/23/2021,5/28/2021,Standard Class,CUST-11,PD-1141,3,0
2073,6/26/2021,6/30/2021,Standard Class,CUST-26,PD-669,4,0
2074,6/26/2021,6/30/2021,Standard Class,CUST-26,PD-790,1,0
2075,6/26/2021,6/30/2021,Standard Class,CUST-26,PD-55,8,0
2076,6/26/2021,6/30/2021,Standard Class,CUST-26,PD-1356,3,0
2077,12/24/2021,12/26/2021,First Class,CUST-601,PD-782,7,0
2078,12/24/2021,12/26/2021,First Class,CUST-601,PD-388,2,0
2079,12/24/2021,12/26/2021,First Class,CUST-601,PD-121,7,0
2080,3/20/2021,3/23/2021,First Class,CUST-602,PD-469,8,0
2081,11/20/2021,11/25/2021,Standard Class,CUST-117,PD-875,3,0
2082,11/20/2021,11/25/2021,Standard Class,CUST-117,PD-162,4,0
2083,11/20/2021,11/25/2021,Standard Class,CUST-117,PD-1115,4,0.2
2084,10/13/2021,10/17/2021,Standard Class,CUST-392,PD-623,7,0
2085,10/13/2021,10/17/2021,Standard Class,CUST-392,PD-1252,3,0
2087,4/25/2021,4/28/2021,Second Class,CUST-571,PD-20,3,0.2
2088,12/13/2021,12/17/2021,Standard Class,CUST-344,PD-382,2,0
2089,12/13/2021,12/17/2021,Standard Class,CUST-344,PD-1027,4,0
2090,7/26/2021,7/28/2021,First Class,CUST-28,PD-1506,3,0.5
2091,9/22/2021,9/22/2021,Same Day,CUST-419,PD-1334,2,0
2092,3/29/2021,3/31/2021,Second Class,CUST-338,PD-1523,5,0.2
2093,7/31/2021,7/31/2021,Same Day,CUST-93,PD-1538,7,0
2094,7/31/2021,7/31/2021,Same Day,CUST-93,PD-1536,7,0.4
2095,7/31/2021,7/31/2021,Same Day,CUST-93,PD-473,3,0
2096,8/27/2021,8/31/2021,Standard Class,CUST-450,PD-1406,3,0
2098,12/21/2021,12/24/2021,Second Class,CUST-573,PD-1316,13,0
2099,12/21/2021,12/24/2021,Second Class,CUST-573,PD-1317,1,0
2100,9/17/2021,9/19/2021,Second Class,CUST-603,PD-370,5,0
2101,6/16/2021,6/20/2021,Standard Class,CUST-126,PD-192,2,0.2
2102,6/13/2021,6/14/2021,First Class,CUST-604,PD-708,3,0.2
2103,3/23/2021,3/29/2021,Standard Class,CUST-17,PD-1165,2,0.3
2104,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-849,3,0.2
2105,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-44,7,0.2
2106,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-137,3,0.2
2107,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-1158,3,0.4
2108,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-39,1,0.2
2109,4/16/2021,4/21/2021,Standard Class,CUST-57,PD-676,5,0.7
2110,7/25/2021,7/29/2021,Standard Class,CUST-567,PD-278,4,0.7
2111,11/20/2021,11/26/2021,Standard Class,CUST-605,PD-102,7,0
2113,12/27/2021,12/31/2021,Standard Class,CUST-606,PD-1049,2,0
2114,10/22/2021,10/26/2021,Standard Class,CUST-529,PD-467,4,0.8
2115,8/22/2021,8/25/2021,First Class,CUST-607,PD-659,6,0.2
2116,9/15/2021,9/15/2021,Same Day,CUST-256,PD-378,3,0.2
2117,9/15/2021,9/15/2021,Same Day,CUST-256,PD-345,4,0.2
2118,9/15/2021,9/15/2021,Same Day,CUST-256,PD-790,2,0.2
2119,9/15/2021,9/15/2021,Same Day,CUST-256,PD-1179,1,0.2
2120,5/25/2021,5/29/2021,Standard Class,CUST-608,PD-1221,13,0.2
2122,6/14/2021,6/18/2021,Standard Class,CUST-4,PD-663,6,0.2
2123,12/24/2021,12/28/2021,Standard Class,CUST-609,PD-1517,7,0.7
2125,9/14/2021,9/19/2021,Standard Class,CUST-31,PD-1353,5,0
2126,9/21/2021,9/24/2021,First Class,CUST-610,PD-1415,7,0.2
2127,9/21/2021,9/24/2021,First Class,CUST-610,PD-1148,3,0.2
2128,9/21/2021,9/24/2021,First Class,CUST-610,PD-25,4,0.6
2129,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-901,4,0.2
2130,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-1056,2,0.7
2131,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-997,2,0.2
2132,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-914,9,0.7
2134,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-1159,5,0.2
2135,9/26/2021,9/30/2021,Standard Class,CUST-611,PD-1368,4,0.2
2136,10/15/2021,10/15/2021,Same Day,CUST-23,PD-1285,3,0.2
2137,10/15/2021,10/15/2021,Same Day,CUST-23,PD-1596,5,0.3
2140,5/16/2021,5/16/2021,Same Day,CUST-507,PD-1215,4,0.2
2141,9/24/2021,9/27/2021,Second Class,CUST-159,PD-218,2,0.2
2142,3/26/2021,3/31/2021,Standard Class,CUST-614,PD-941,3,0.2
2143,11/23/2021,11/27/2021,Standard Class,CUST-615,PD-1278,4,0.2
2144,11/23/2021,11/27/2021,Standard Class,CUST-615,PD-1119,2,0.8
2145,11/23/2021,11/27/2021,Standard Class,CUST-615,PD-747,2,0.2
2146,3/16/2021,3/18/2021,Second Class,CUST-616,PD-1152,2,0
2147,3/19/2021,3/25/2021,Standard Class,CUST-600,PD-1486,3,0.2
2148,11/29/2021,11/30/2021,First Class,CUST-617,PD-531,3,0.2
2149,11/29/2021,11/30/2021,First Class,CUST-617,PD-99,4,0.8
2151,3/24/2021,3/27/2021,First Class,CUST-254,PD-1435,3,0.3
2152,12/19/2021,12/24/2021,Standard Class,CUST-219,PD-1415,5,0.2
2153,12/19/2021,12/24/2021,Standard Class,CUST-219,PD-1589,3,0
2154,11/16/2021,11/22/2021,Standard Class,CUST-618,PD-1340,5,0
2155,9/24/2021,9/30/2021,Standard Class,CUST-404,PD-1202,6,0
2156,3/19/2021,3/20/2021,First Class,CUST-265,PD-1587,3,0
2157,3/19/2021,3/20/2021,First Class,CUST-265,PD-1542,7,0
2158,3/19/2021,3/20/2021,First Class,CUST-265,PD-1342,2,0
2159,9/26/2021,9/29/2021,Second Class,CUST-137,PD-1164,6,0.7
2161,9/17/2021,9/21/2021,Standard Class,CUST-255,PD-672,2,0.6
2162,9/17/2021,9/21/2021,Standard Class,CUST-255,PD-99,3,0.8
2163,9/25/2021,9/28/2021,Second Class,CUST-509,PD-804,4,0
2164,9/25/2021,9/28/2021,Second Class,CUST-509,PD-251,3,0
2165,9/25/2021,9/28/2021,Second Class,CUST-509,PD-1099,2,0
2167,12/27/2021,12/31/2021,Standard Class,CUST-18,PD-191,7,0
2168,7/13/2021,7/15/2021,Second Class,CUST-125,PD-42,2,0.2
2169,7/13/2021,7/15/2021,Second Class,CUST-125,PD-1487,9,0.1
2170,7/13/2021,7/15/2021,Second Class,CUST-125,PD-351,2,0
2171,11/22/2021,11/26/2021,Standard Class,CUST-56,PD-252,2,0.7
2173,12/20/2021,12/25/2021,Standard Class,CUST-100,PD-1266,4,0.2
2174,12/20/2021,12/25/2021,Standard Class,CUST-100,PD-1437,3,0.3
2175,12/19/2021,12/20/2021,First Class,CUST-399,PD-1481,3,0.2
2176,12/19/2021,12/20/2021,First Class,CUST-399,PD-72,2,0.2
2177,12/19/2021,12/20/2021,First Class,CUST-399,PD-908,4,0.2
2178,11/22/2021,11/27/2021,Standard Class,CUST-603,PD-1438,2,0.3
2179,7/13/2021,7/15/2021,First Class,CUST-338,PD-522,6,0.8
2181,11/24/2021,11/28/2021,Standard Class,CUST-439,PD-173,5,0
2182,2/15/2021,2/19/2021,Standard Class,CUST-594,PD-1052,3,0
2183,2/15/2021,2/19/2021,Standard Class,CUST-594,PD-1507,2,0
2184,2/15/2021,2/19/2021,Standard Class,CUST-594,PD-970,5,0
2185,9/14/2021,9/18/2021,Standard Class,CUST-461,PD-1186,3,0.2
2186,12/13/2021,12/15/2021,Second Class,CUST-564,PD-264,2,0
2187,7/13/2021,7/15/2021,Second Class,CUST-337,PD-369,6,0
2188,7/20/2021,7/25/2021,Second Class,CUST-619,PD-1039,1,0
2190,7/20/2021,7/25/2021,Second Class,CUST-619,PD-397,5,0
2191,7/20/2021,7/25/2021,Second Class,CUST-619,PD-786,7,0
2193,7/20/2021,7/25/2021,Second Class,CUST-619,PD-974,5,0
2194,5/25/2021,5/27/2021,Second Class,CUST-550,PD-345,3,0
2195,12/14/2021,12/16/2021,Second Class,CUST-283,PD-78,2,0
2196,3/19/2021,3/23/2021,Standard Class,CUST-510,PD-99,2,0.2
2197,3/19/2021,3/23/2021,Standard Class,CUST-510,PD-541,2,0
2199,3/19/2021,3/23/2021,Standard Class,CUST-510,PD-511,6,0
2200,3/13/2021,3/15/2021,First Class,CUST-404,PD-1238,2,0
2201,11/26/2021,11/30/2021,Standard Class,CUST-511,PD-13,3,0
2202,11/26/2021,11/30/2021,Standard Class,CUST-511,PD-893,5,0
2203,11/26/2021,11/30/2021,Standard Class,CUST-511,PD-708,4,0
2204,11/26/2021,11/30/2021,Standard Class,CUST-511,PD-230,3,0
2205,1/23/2021,1/27/2021,Standard Class,CUST-371,PD-628,3,0
2208,6/18/2021,6/23/2021,Standard Class,CUST-605,PD-63,7,0.7
2209,6/18/2021,6/23/2021,Standard Class,CUST-605,PD-708,2,0.7
2210,6/18/2021,6/23/2021,Standard Class,CUST-605,PD-778,5,0.2
2211,4/13/2021,4/19/2021,Standard Class,CUST-38,PD-1147,4,0
2212,4/13/2021,4/19/2021,Standard Class,CUST-38,PD-1473,3,0.2
2213,12/24/2021,12/29/2021,Standard Class,CUST-41,PD-781,7,0.2
2215,12/24/2021,12/29/2021,Standard Class,CUST-41,PD-250,2,0.2
2217,4/13/2021,4/15/2021,Second Class,CUST-617,PD-648,1,0
2219,10/31/2021,10/31/2021,Same Day,CUST-621,PD-863,1,0
2220,10/31/2021,10/31/2021,Same Day,CUST-621,PD-1142,3,0.2
2222,10/31/2021,10/31/2021,Same Day,CUST-621,PD-153,5,0
2223,10/31/2021,10/31/2021,Same Day,CUST-621,PD-1329,4,0.2
2224,10/31/2021,10/31/2021,Same Day,CUST-621,PD-635,3,0
2225,10/31/2021,10/31/2021,Same Day,CUST-621,PD-1586,4,0.2
2226,10/31/2021,10/31/2021,Same Day,CUST-621,PD-922,2,0
2227,10/31/2021,10/31/2021,Same Day,CUST-621,PD-1584,1,0.15
2228,11/20/2021,11/26/2021,Standard Class,CUST-112,PD-502,3,0
2229,11/22/2021,11/26/2021,Standard Class,CUST-171,PD-350,3,0
2230,8/22/2021,8/26/2021,Standard Class,CUST-622,PD-273,4,0
2232,9/15/2021,9/17/2021,Second Class,CUST-199,PD-1304,2,0
2233,9/15/2021,9/17/2021,Second Class,CUST-199,PD-185,8,0
2234,2/15/2021,2/18/2021,Second Class,CUST-494,PD-508,2,0
2235,2/15/2021,2/18/2021,Second Class,CUST-494,PD-658,5,0.2
2236,2/15/2021,2/18/2021,Second Class,CUST-494,PD-159,5,0.2
2238,2/15/2021,2/18/2021,Second Class,CUST-494,PD-355,3,0
2240,9/21/2021,9/27/2021,Standard Class,CUST-502,PD-1025,6,0
2241,4/20/2021,4/25/2021,Standard Class,CUST-57,PD-1254,3,0
2242,4/20/2021,4/25/2021,Standard Class,CUST-57,PD-1315,6,0
2243,4/20/2021,4/25/2021,Standard Class,CUST-57,PD-383,2,0
2244,12/23/2021,12/26/2021,First Class,CUST-339,PD-629,4,0
2245,9/15/2021,9/19/2021,Second Class,CUST-624,PD-958,3,0.2
2246,9/15/2021,9/19/2021,Second Class,CUST-624,PD-1112,1,0.2
2247,9/15/2021,9/19/2021,Second Class,CUST-624,PD-388,2,0
2248,12/25/2021,12/29/2021,Standard Class,CUST-329,PD-1418,4,0.2
2249,11/14/2021,11/19/2021,Standard Class,CUST-477,PD-848,2,0
2250,11/14/2021,11/19/2021,Standard Class,CUST-477,PD-987,2,0
2251,11/14/2021,11/19/2021,Standard Class,CUST-477,PD-544,5,0
2252,11/14/2021,11/17/2021,First Class,CUST-477,PD-819,2,0
2253,11/14/2021,11/17/2021,First Class,CUST-477,PD-1545,3,0
2254,9/14/2021,9/17/2021,Second Class,CUST-598,PD-1289,3,0
2255,4/18/2021,4/19/2021,First Class,CUST-455,PD-832,6,0
2256,1/27/2021,1/29/2021,Second Class,CUST-214,PD-1408,2,0.3
2257,1/27/2021,1/29/2021,Second Class,CUST-214,PD-1476,4,0.4
2258,1/27/2021,1/29/2021,Second Class,CUST-214,PD-1451,1,0.4
2259,7/16/2021,7/16/2021,Same Day,CUST-625,PD-1516,6,0.2
2260,7/16/2021,7/16/2021,Same Day,CUST-625,PD-1523,3,0.2
2261,8/16/2021,8/22/2021,Standard Class,CUST-101,PD-108,1,0.2
2262,8/16/2021,8/22/2021,Standard Class,CUST-101,PD-1577,5,0.2
2263,8/16/2021,8/22/2021,Standard Class,CUST-101,PD-1134,8,0.2
2264,8/16/2021,8/22/2021,Standard Class,CUST-101,PD-127,2,0.2
2266,3/24/2021,3/30/2021,Standard Class,CUST-626,PD-221,2,0.2
2267,12/25/2021,12/31/2021,Standard Class,CUST-385,PD-110,4,0.2
2268,12/25/2021,12/31/2021,Standard Class,CUST-385,PD-384,2,0.2
2270,3/17/2021,3/22/2021,Second Class,CUST-51,PD-747,2,0
2271,8/15/2021,8/19/2021,Standard Class,CUST-627,PD-1406,2,0
2273,12/24/2021,12/28/2021,Standard Class,CUST-51,PD-1513,4,0.2
2274,8/25/2021,8/30/2021,Standard Class,CUST-486,PD-1085,1,0.2
2275,8/25/2021,8/30/2021,Standard Class,CUST-486,PD-957,4,0
2276,2/21/2021,2/23/2021,Second Class,CUST-322,PD-713,4,0
2277,11/13/2021,11/19/2021,Standard Class,CUST-103,PD-1327,3,0
2278,11/13/2021,11/19/2021,Standard Class,CUST-103,PD-335,7,0
2279,11/13/2021,11/19/2021,Standard Class,CUST-103,PD-1282,3,0
2280,11/13/2021,11/19/2021,Standard Class,CUST-103,PD-1052,2,0
2281,6/20/2021,6/25/2021,Second Class,CUST-628,PD-1034,6,0
2282,6/20/2021,6/25/2021,Second Class,CUST-628,PD-1099,3,0.2
2284,4/17/2021,4/21/2021,Standard Class,CUST-366,PD-148,2,0
2285,4/17/2021,4/21/2021,Standard Class,CUST-366,PD-1345,3,0
2286,4/17/2021,4/21/2021,Standard Class,CUST-366,PD-1262,5,0.2
2287,4/17/2021,4/21/2021,Standard Class,CUST-366,PD-1552,5,0
2288,4/17/2021,4/21/2021,Standard Class,CUST-366,PD-329,2,0
2289,12/21/2021,12/25/2021,Standard Class,CUST-629,PD-671,7,0.2
2290,7/17/2021,7/19/2021,Second Class,CUST-40,PD-1299,2,0.15
2291,9/21/2021,9/23/2021,First Class,CUST-306,PD-1413,4,0.2
2292,9/21/2021,9/23/2021,First Class,CUST-306,PD-258,2,0
2293,7/25/2021,7/27/2021,Second Class,CUST-547,PD-241,2,0
2294,7/25/2021,7/27/2021,Second Class,CUST-547,PD-500,2,0
2295,7/25/2021,7/27/2021,Second Class,CUST-547,PD-1584,5,0
2296,7/25/2021,7/27/2021,Second Class,CUST-547,PD-1548,2,0.2
2297,11/16/2021,11/18/2021,Second Class,CUST-202,PD-863,9,0
2298,11/16/2021,11/18/2021,Second Class,CUST-202,PD-1003,6,0
2299,11/16/2021,11/18/2021,Second Class,CUST-202,PD-1143,3,0
2300,11/16/2021,11/18/2021,Second Class,CUST-202,PD-1533,4,0
2301,11/16/2021,11/18/2021,Second Class,CUST-202,PD-1511,3,0
2302,4/26/2021,4/30/2021,Standard Class,CUST-98,PD-1523,2,0.3
2303,12/24/2021,12/29/2021,Standard Class,CUST-142,PD-77,4,0.2
2304,12/24/2021,12/29/2021,Standard Class,CUST-142,PD-607,4,0
2305,9/17/2021,9/21/2021,Standard Class,CUST-266,PD-1495,2,0.4
2306,9/21/2021,9/27/2021,Standard Class,CUST-292,PD-1072,4,0
2307,9/21/2021,9/27/2021,Standard Class,CUST-292,PD-886,1,0
2308,11/27/2021,11/29/2021,First Class,CUST-329,PD-969,3,0
2309,11/27/2021,11/29/2021,First Class,CUST-329,PD-1041,3,0
2310,8/23/2021,8/23/2021,Same Day,CUST-359,PD-635,4,0.2
2311,8/23/2021,8/23/2021,Same Day,CUST-359,PD-380,2,0.2
2312,8/23/2021,8/23/2021,Same Day,CUST-359,PD-80,8,0.2
2313,8/23/2021,8/23/2021,Same Day,CUST-359,PD-688,2,0.8
2314,4/25/2021,4/28/2021,First Class,CUST-362,PD-1206,3,0
2315,12/15/2021,12/18/2021,First Class,CUST-410,PD-1589,6,0.2
2316,12/15/2021,12/18/2021,First Class,CUST-410,PD-1608,2,0.7
2317,12/15/2021,12/18/2021,First Class,CUST-410,PD-1231,2,0.4
2318,12/15/2021,12/18/2021,First Class,CUST-410,PD-1062,7,0.2
2319,8/24/2021,8/28/2021,Standard Class,CUST-625,PD-1428,2,0.4
2320,8/24/2021,8/28/2021,Standard Class,CUST-625,PD-657,2,0
2321,12/27/2021,12/29/2021,Second Class,CUST-109,PD-15,8,0
2322,12/13/2021,12/15/2021,First Class,CUST-558,PD-1500,3,0.2
2323,12/13/2021,12/15/2021,First Class,CUST-558,PD-98,5,0.2
2324,12/13/2021,12/15/2021,First Class,CUST-558,PD-1078,5,0
2325,12/13/2021,12/15/2021,First Class,CUST-558,PD-1054,1,0
2326,5/23/2021,5/30/2021,Standard Class,CUST-411,PD-540,7,0.7
2327,5/23/2021,5/30/2021,Standard Class,CUST-411,PD-1000,4,0.2
2328,7/23/2021,7/27/2021,Standard Class,CUST-507,PD-918,3,0
2329,7/23/2021,7/27/2021,Standard Class,CUST-507,PD-1034,3,0
2330,8/13/2021,8/20/2021,Standard Class,CUST-159,PD-644,5,0
2331,12/13/2021,12/20/2021,Standard Class,CUST-116,PD-471,3,0
2332,12/13/2021,12/20/2021,Standard Class,CUST-116,PD-850,2,0
2333,11/21/2021,11/25/2021,Standard Class,CUST-127,PD-1240,2,0
2334,11/21/2021,11/25/2021,Standard Class,CUST-127,PD-269,4,0.2
2335,10/17/2021,10/17/2021,Same Day,CUST-630,PD-1012,2,0
2336,9/24/2021,9/28/2021,Standard Class,CUST-183,PD-187,4,0
2337,9/24/2021,9/28/2021,Standard Class,CUST-183,PD-1366,10,0
2338,9/27/2021,9/29/2021,First Class,CUST-631,PD-993,2,0.8
2339,9/27/2021,9/29/2021,First Class,CUST-631,PD-876,3,0.6
2340,11/29/2021,11/30/2021,Same Day,CUST-509,PD-301,1,0.2
2341,2/20/2021,2/23/2021,Second Class,CUST-395,PD-1088,7,0
2343,9/17/2021,9/23/2021,Standard Class,CUST-632,PD-981,3,0.2
2344,3/19/2021,3/24/2021,Standard Class,CUST-99,PD-335,3,0.2
2345,11/22/2021,11/27/2021,Standard Class,CUST-404,PD-40,2,0.7
2346,11/22/2021,11/27/2021,Standard Class,CUST-404,PD-607,6,0.2
2347,11/19/2021,11/21/2021,Second Class,CUST-167,PD-1239,2,0
2349,6/13/2021,6/19/2021,Standard Class,CUST-147,PD-27,3,0
2350,6/13/2021,6/19/2021,Standard Class,CUST-147,PD-1527,3,0
2351,6/13/2021,6/19/2021,Standard Class,CUST-147,PD-498,5,0
2352,9/18/2021,9/23/2021,Standard Class,CUST-542,PD-815,2,0
2353,9/18/2021,9/23/2021,Standard Class,CUST-542,PD-1242,7,0
2355,9/18/2021,9/23/2021,Standard Class,CUST-542,PD-1476,7,0
2356,9/18/2021,9/23/2021,Standard Class,CUST-542,PD-735,4,0
2357,9/18/2021,9/23/2021,Standard Class,CUST-463,PD-430,2,0
2358,9/18/2021,9/23/2021,Standard Class,CUST-463,PD-580,2,0
2359,9/18/2021,9/23/2021,Standard Class,CUST-463,PD-632,2,0
2360,2/27/2021,2/28/2021,First Class,CUST-484,PD-13,3,0.7
2362,9/15/2021,9/19/2021,Standard Class,CUST-127,PD-1585,2,0
2363,9/15/2021,9/19/2021,Standard Class,CUST-127,PD-871,3,0
2364,9/15/2021,9/19/2021,Standard Class,CUST-127,PD-1443,7,0
2365,9/14/2021,9/18/2021,Standard Class,CUST-66,PD-1464,6,0
2366,9/14/2021,9/18/2021,Standard Class,CUST-66,PD-1563,2,0.2
2367,9/14/2021,9/18/2021,Standard Class,CUST-66,PD-1,9,0.2
2368,11/14/2021,11/19/2021,Standard Class,CUST-551,PD-946,3,0
2369,11/14/2021,11/19/2021,Standard Class,CUST-551,PD-87,2,0
2370,9/21/2021,9/21/2021,Same Day,CUST-232,PD-1100,2,0
2371,10/23/2021,10/27/2021,Second Class,CUST-633,PD-811,9,0
2372,10/23/2021,10/27/2021,Second Class,CUST-633,PD-1508,1,0.2
2373,10/23/2021,10/27/2021,Second Class,CUST-633,PD-961,7,0.2
2374,10/23/2021,10/27/2021,Second Class,CUST-633,PD-423,2,0
2375,10/23/2021,10/27/2021,Second Class,CUST-633,PD-116,4,0
2376,10/23/2021,10/27/2021,Second Class,CUST-633,PD-1548,3,0.2
2377,6/15/2021,6/20/2021,Standard Class,CUST-544,PD-445,2,0.2
2378,6/15/2021,6/20/2021,Standard Class,CUST-544,PD-1093,2,0.2
2380,6/15/2021,6/20/2021,Standard Class,CUST-544,PD-361,4,0.2
2383,6/16/2021,6/20/2021,Standard Class,CUST-551,PD-603,3,0.2
2384,6/16/2021,6/20/2021,Standard Class,CUST-551,PD-1367,2,0.3
2385,10/19/2021,10/24/2021,Standard Class,CUST-595,PD-27,6,0
2386,10/19/2021,10/24/2021,Standard Class,CUST-595,PD-992,5,0
2387,2/22/2021,2/24/2021,Second Class,CUST-47,PD-861,4,0
2388,7/17/2021,7/20/2021,Second Class,CUST-634,PD-1112,5,0.2
2389,12/18/2021,12/22/2021,Standard Class,CUST-341,PD-218,2,0.2
2391,8/23/2021,8/28/2021,Standard Class,CUST-635,PD-1481,3,0
2392,8/23/2021,8/28/2021,Standard Class,CUST-635,PD-110,3,0
2393,8/23/2021,8/28/2021,Standard Class,CUST-635,PD-1071,5,0
2394,8/23/2021,8/28/2021,Standard Class,CUST-635,PD-290,5,0
